COM,Nom Commune,P20_SCOL1517,P20_SCOL1824,ETTEF2021,P20_SCOL2529,P20_NSCOL15P_CAPBEP,P20_NSCOL15P_BAC,P20_NSCOL15P_SUP2,P20_NSCOL15P_SUP34,P20_NSCOL15P_SUP5,ETTEF5021,ETTEF1021,ETTEF121,ETTEF021,P20_POP1564,P20_ACT1564,P20_ACTOCC1564,P20_CHOMEUR1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP34,P20_CHOM_SUP5,P20_ACT_DIPLMIN,P20_ACT_SUP34,P20_ACT_SUP5,P20_INACT1564,P20_ETUD1564,P20_RETR1564,P20_AINACT1564,C20_ACT1564_CS2,C20_ACT1564_CS3,C20_ACT1564_CS4,MED20,NBPERSMENFISC20,NTLBIN
19182,Saint-Aulaire,28,8,1,1,185,102,60,43,34,1,5,13,1,456.647324980772,344.724265313945,309.753460954819,34.9708043591266,4.59974858822335,1.98726141643833,0.0,18.9409516896684,29.3103405853726,22.5835519228556,111.923059666827,32.7942136344491,50.1173967953761,29.0114492370015,8.6378200802945,45.9809200555546,60.5623306229182,21750,774,0
19184,Saint-Bazile-de-Meyssac,4,0,0,0,29,19,11,8,6,0,0,1,1,70.3384615384615,54.7076923076923,46.8923076923077,7.81538461538462,1.95384615384615,0.0,0.0,3.90769230769231,3.90769230769231,4.88461538461538,15.6307692307692,3.90769230769231,9.76923076923077,1.95384615384615,9.76923076923077,0.0,9.76923076923077,20260,128,0
19186,Saint-Bonnet-Elvert,6,0,0,0,54,28,24,9,15,0,0,3,1,116.0,83.0,71.0,12.0,4.0,0.0,0.0,9.0,4.0,8.0,33.0,7.0,20.0,6.0,20.0,0.0,15.0,21190,208,0
19187,Saint-Bonnet-la-Riviere,16,5,1,0,85,73,31,34,17,0,0,5,0,240.72140536402,193.327918442136,182.817857875663,10.5100605664726,0.0,3.07609891867765,0.0,9.2302337281172,28.1883003805372,12.566695354971,47.393486921884,17.2452288070695,13.2978910992844,16.85036701553,15.7713181014726,20.9909182937809,31.8210277157661,21380,375,0
19188,Saint-Bonnet-l'Enfantier,14,5,1,1,106,66,31,34,11,0,0,7,1,256.149464983935,204.922931293159,196.71920507174,8.20372622141929,1.02452856229625,0.0,0.0,8.19624552074395,25.6076435515454,9.22825136059667,51.2265336907762,18.4677118348229,16.3644751160806,16.3943467398726,20.4905882682877,15.3772920382369,81.9904439466469,22460,402,0
19189,Saint-Bonnet-les-Tours-de-Merle,3,0,0,0,12,2,1,3,0,0,0,2,0,21.8666666666667,15.4888888888889,13.6666666666667,1.82222222222222,0.0,0.0,0.0,1.82222222222222,2.73333333333333,0.0,6.37777777777778,1.82222222222222,3.64444444444444,0.911111111111111,0.0,0.0,13.6666666666667,s,s,0
19190,Saint-Bonnet-pres-Bort,7,3,0,0,44,31,13,9,2,0,0,3,0,118.125,88.59375,74.8125,13.78125,4.921875,0.984375,0.984375,9.84375,6.890625,1.96875,29.53125,8.859375,10.828125,9.84375,0.0,0.0,9.84375,20520,172,0
19191,Saint-Cernin-de-Larche,32,9,0,0,169,82,67,35,25,0,2,12,1,402.667559065398,316.469520136313,291.979190946504,24.4903291898087,2.03340088187577,1.90544405825861,1.90361699723934,18.1321023025816,24.4477860107124,24.5482360869249,86.1980389290855,36.6156657847897,38.4151231020031,11.1672500422927,34.4266628548297,29.2123096868686,90.7173872041867,22890,668,0
19192,Saint-Chamant,17,6,1,0,135,70,35,19,19,0,0,12,0,277.922581470392,212.571396891814,190.856847153594,21.7145497382199,4.1316507556389,0.0,1.02496231258848,18.5288235884117,11.5107301426853,13.530536268705,65.3511845785784,19.9494897370153,31.8393534647863,13.5623413767768,25.6276121963334,0.0,56.7704370014615,20620,446,0
19193,Saint-Cirgues-la-Loutre,2,0,0,0,34,35,11,15,5,0,0,1,0,74.7228263193771,51.1404811846807,48.1926880428436,2.94779314183706,0.0,0.982597713945686,0.0,6.8781839976198,4.95838862923345,0.982597713945686,23.5823451346965,1.96519542789137,12.7737702812939,8.84337942551117,4.91298856972843,4.91298856972843,0.0,17950,170,0
