COM,Nom Commune,NTLBIN,P20_SCOL1824,P20_SCOL2529,P20_NSCOL15P_SUP2,ETTEF5021,ETTEF1021,ETTEF021,P20_POP1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP5,P20_ETUD1564,P20_RETR1564,C20_ACT1564_CS4
16085,Chasseneuil-sur-Bonnieure,1,88,4,202,3,16,7,1685.0,16.0,2.0,105.0,164.0,225.0
16086,Chassenon,0,8,0,60,0,2,0,442.0,10.0,1.0,17.0,37.0,15.0
16087,Chassiecq,0,2,0,4,0,0,0,72.972972972973,0.972972972972973,0.972972972972973,4.86486486486486,11.6756756756757,14.5945945945946
16088,Chassors,0,16,0,96,0,5,2,692.863287782693,9.02024819405896,2.071786788598,34.7711122948018,75.3556660944288,126.260719432606
16089,Chateaubernard,0,69,11,265,19,39,17,2193.75666836193,38.1995059660357,13.0944208311559,139.456197599227,196.098426572811,382.812444013856
16090,Chateauneuf-sur-Charente,0,52,4,270,4,16,5,2001.97136421962,32.5439059812856,3.84981850464647,135.986921925684,161.542938500875,262.078492883691
16091,Chatignac,0,3,0,9,0,1,1,86.4971098265896,0.0,0.0,7.95375722543353,5.96531791907514,0.0
16093,Chazelles,0,31,5,151,2,1,4,921.234394273238,7.05060565306473,3.40404589283351,77.9086268230964,93.3100789705976,163.412774317004
16095,Chenon,0,2,0,11,1,1,0,65.0,0.0,0.0,4.0,12.0,0.0
16096,Cherves-Chatelars,0,5,0,28,0,0,2,238.033985132509,1.00729218242428,0.0,17.9950328591882,26.3977961619156,45.3736939444845
16097,Cherves-Richemont,0,84,0,179,2,9,4,1332.00615273514,16.7802333404617,1.94167750123998,146.892299682788,108.523844141399,190.368170416958
16098,La Chevrerie,0,1,0,6,0,0,0,81.1678832116788,0.0,0.0,5.07299270072993,14.2043795620438,0.0
16099,Chillac,0,2,0,12,0,1,2,112.626563140603,1.0147473181539,0.0,9.20894915383562,11.0497138615393,15.3729194108996
16100,Chirac,0,2,0,46,0,0,4,454.0,4.0,1.0,33.0,54.0,100.0
16101,Claix,0,32,3,101,0,2,1,683.0,1.0,2.0,70.0,59.0,125.0
16102,Cognac,1,451,67,1499,37,85,58,11503.4376032103,295.949320225677,77.857348857567,905.148227320626,788.251090037678,2137.33723968891
16103,Combiers,0,0,0,3,0,1,0,66.9032258064516,2.95161290322581,0.0,0.983870967741935,9.83870967741936,19.6774193548387
16104,Condac,0,12,0,26,0,0,1,288.066163745109,8.92724475468207,0.0,23.181316718496,31.0268135114205,28.7737045134521
16105,Condeon,0,12,1,47,0,0,1,372.310027992842,2.0241186791574,1.01126185674491,29.2776874647223,25.6014162740122,42.1485846996617
16106,Confolens,0,55,2,151,10,15,8,1387.89002692898,47.8716026541984,8.98490775154163,107.469162931913,167.285484679133,144.743682029968
16107,Coulgens,0,6,1,43,0,1,0,348.450521086997,2.06013608813079,0.0,29.7450508290662,23.0905933814749,30.4657332341877
16108,Coulonges,0,4,1,11,0,0,0,75.2631578947368,1.95488721804511,0.0,6.84210526315789,3.90977443609023,14.6616541353383
16109,Courbillac,0,13,2,52,1,0,3,479.390740213659,2.26038034418121,2.97845997448136,36.2201898996431,23.5580768206322,90.7766152518214
16110,Courcome,0,9,0,53,0,3,6,441.819625526278,8.67209253158891,3.03727047585262,30.338290235178,50.0486629248394,43.3243759332342
16111,Courgeac,0,5,0,17,0,1,2,105.95530726257,0.972067039106145,0.972067039106145,9.72067039106145,15.5530726256983,4.86033519553073
16112,Courlac,0,1,0,4,0,0,0,22.0,0.0,0.0,2.0,3.0,5.0
16113,La Couronne,0,533,23,549,16,28,15,5082.89281545475,119.404622424576,21.7719244597475,668.895728386821,408.101351163177,766.052444674694
16114,Couture,0,3,0,10,0,0,1,79.9575757575758,3.03636363636364,1.01212121212121,0.0,9.10909090909091,5.06060606060606
16116,Criteuil-la-Magdeleine,0,8,0,29,0,0,3,238.226686606336,2.0640763997704,0.0,15.9035137222225,20.2477523239933,47.5194153197971
16117,Curac,0,0,0,2,0,0,0,69.0,0.0,0.0,2.0,12.0,10.0
16118,Deviat,0,2,0,7,0,0,0,73.2857142857143,0.964285714285714,0.0,3.85714285714286,7.71428571428571,4.82142857142857
16119,Dignac,0,27,0,114,0,1,5,771.472093763114,9.00979676871824,2.00348794756436,53.9748027021897,77.1283618323255,155.116536747086
16120,Dirac,0,27,5,159,1,2,1,888.747777903642,2.98470554947183,7.92864553690091,77.8656517765022,87.0250193456732,184.075365308893
16121,Douzat,0,8,1,45,0,0,1,266.294650400815,1.94434781728877,0.0,18.432965335295,27.1390867183367,39.5423448400603
16122,Ebreon,0,2,0,11,0,0,0,77.2027972027972,1.93006993006993,0.0,5.79020979020979,11.5804195804196,9.65034965034965
16123,Echallat,0,3,1,41,0,1,3,287.0,2.0,2.0,21.0,25.0,50.0
16124,Ecuras,0,2,1,27,0,1,2,293.202796645154,10.9033753848177,0.99307087111829,9.23552715656038,48.6685776833696,9.77432230333122
16125,Edon,0,4,0,20,0,0,0,152.0,0.0,1.0,12.0,18.0,25.0
16127,Empure,0,2,0,4,0,0,1,61.7171717171717,1.8989898989899,0.0,3.7979797979798,3.7979797979798,4.74747474747475
16128,Epenede,0,0,0,8,0,0,0,94.0497976652063,7.36874383940523,0.0,2.72851361863037,20.009099869956,18.1900907908691
16130,Les Essards,0,1,1,6,0,0,0,101.0,1.0,0.0,1.0,6.0,10.0
16131,Esse,0,3,0,23,0,1,0,297.383612224428,2.01800337048375,0.0,15.1046252953808,32.2895848403166,55.4799558932412
16132,Etagnac,0,10,0,71,3,3,0,547.57007329344,7.01507024410068,1.01992643736075,46.7534529039836,69.8152554235966,60.3647986515004
16133,Etriac,0,1,0,19,0,0,2,119.60101010101,1.0050505050505,0.0,8.04040404040404,3.01515151515152,25.1262626262626
16134,Exideuil-sur-Vienne,0,9,1,43,2,0,2,590.20521191623,5.94055955675187,3.99116762293926,43.6148923562034,72.5465133211929,64.6601829112811
16135,Eymouthiers,0,4,0,27,0,0,0,200.70208074339,0.993967598035019,1.98581862957978,8.93724183451397,18.886444055712,29.8137365255757
16136,La Faye,0,5,1,31,1,0,3,342.217173108275,3.78966113670062,1.93693424447853,22.999344679299,41.6433573124328,55.4652730406282
16137,Feuillade,0,4,0,20,0,0,0,164.7545122204,1.10887692879821,0.0,8.32721963842572,19.3791182665734,29.0584161397249
16138,Fleac,0,82,7,349,4,10,3,2279.0,28.0,6.0,172.0,175.0,475.0
16139,Fleurac,0,1,0,22,0,0,1,136.554251409553,1.00523869199294,0.0,4.02095476797175,13.0681029959082,25.1309672998234
16141,Fontenille,0,2,1,27,0,0,0,183.341100458597,3.04861891073981,0.982346437019479,8.33750125783815,19.5438451356611,29.7474010475317
16142,La Foret-de-Tesse,0,2,0,8,0,0,0,108.0,0.0,1.0,4.0,22.0,5.0
16143,Fouquebrune,0,8,0,70,0,0,2,414.320873303324,1.03829312251838,1.00478948971713,26.625007541878,44.112764891679,71.1121339374119
16144,Fouqueure,0,6,0,14,0,0,0,247.058757394284,4.16734366340963,0.0,16.0327854175922,29.1826474442151,41.5813862759543
16145,Foussignac,0,8,2,69,0,0,4,396.514761594509,4.83653507892435,2.09053507151334,26.3382004915526,35.509183087507,55.0115933191696
16146,Garat,1,33,2,202,0,2,5,1267.16731782113,9.30290797156666,2.06720960009497,107.498760102118,129.18819675664,263.56833149198
16147,Gardes-le-Pontaroux,0,3,0,19,0,0,1,150.0,0.0,1.0,14.0,19.0,25.0
16148,Genac-Bignac,0,16,4,115,0,1,2,604.22681816289,5.81377168846585,1.42676266439126,39.8248886525916,47.0466068490457,125.282982833687
16150,Gensac-la-Pallue,0,23,0,115,4,12,3,948.010074755172,10.2886109033212,7.04376421728998,74.1398737460509,121.375841131491,145.138420529696
16151,Gente,0,13,2,71,0,7,3,537.734149513849,6.95284662892274,0.999204625704535,38.6287780532175,61.4822915650633,104.544465422094
16152,Gimeux,0,11,0,39,0,0,2,436.688199620866,6.04204116987314,0.995218617529973,35.913008837324,43.7183388401686,99.8972697970918
16153,Mainxe-Gondeville,0,15,0,96,0,3,5,698.0,9.0,2.0,39.0,41.0,135.0
16154,Gond-Pontouvre,0,156,24,518,8,50,18,3603.8494580822,54.2947301918632,9.30272013374174,298.719186429688,210.935125011422,774.140371251385
16155,Les Gours,0,1,0,6,0,0,0,58.7096774193548,0.0,0.0,2.25806451612903,7.90322580645161,11.2903225806452
