COM,Nom Commune,N TL,P20_SCOL1517,P20_SCOL1824,ETTEF2021,P20_SCOL2529,P20_NSCOL15P_CAPBEP,P20_NSCOL15P_BAC,P20_NSCOL15P_SUP2,P20_NSCOL15P_SUP34,P20_NSCOL15P_SUP5,ETTEF5021,ETTEF1021,ETTEF121,ETTEF021,P20_ACT1564,P20_ACTOCC1564,P20_CHOMEUR1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP34,P20_CHOM_SUP5,P20_ACT_DIPLMIN,P20_ACT_SUP34,P20_ACT_SUP5,P20_INACT1564,P20_ETUD1564,P20_RETR1564,P20_AINACT1564,C20_ACT1564_CS2,C20_ACT1564_CS3,C20_ACT1564_CS4,MED20,NBPERSMENFISC20,P20_POP1564
24077,Campsegret,0,0.0801425603255644,0.0160285120651128,0.0,0.0240427680976693,0.3205702413022577,0.2364205529604151,0.1682993766836853,0.0921639443743991,0.0520926642116168,0.0,0.0,0.0761354323092862,0.0040071280162782,0.6855129803884691,0.5942342113360358,0.0912787690524324,0.0079660828726316,0.0,0.0038894185679493,0.0632397577755082,0.0555822879063341,0.0438479826788495,0.3144870196115305,0.0902133526289025,0.1445338885178096,0.0797397784648183,0.0784141755333814,0.0,0.0991374214051507,21080,394,249.555291455048
24080,Capdrot,0,0.0516431924882629,0.0140845070422535,0.0046948356807511,0.0,0.3943661971830985,0.2629107981220657,0.1267605633802817,0.1784037558685446,0.1690140845070422,0.0093896713615023,0.0,0.0422535211267605,0.0140845070422535,0.7464788732394366,0.6854460093896714,0.0610328638497652,0.0140845070422535,0.0093896713615023,0.0046948356807511,0.0892018779342723,0.1173708920187793,0.0610328638497652,0.2535211267605634,0.0469483568075117,0.1220657276995305,0.0845070422535211,0.1173708920187793,0.0234741784037558,0.352112676056338,20170,351,213.0
24081,Carlux,0,0.0875543630333002,0.0136803692239531,0.0027360738447906,0.0027360738447906,0.5225901043550111,0.2736073844790633,0.1313315445499504,0.0930265107228815,0.0711379199645564,0.0,0.0054721476895812,0.0355689599822782,0.0136803692239531,0.7220785279509665,0.622041650741916,0.1000368772090483,0.0083649077604796,0.0055611744181317,0.0055611744181317,0.061182410495884,0.0555566665070583,0.0333579846445939,0.2779214720490362,0.0803741891021161,0.0890899901689964,0.1084572927779227,0.0416399220367403,0.0554733591091601,0.2222170516593034,21050,631,365.487211503431
24082,Carsac-Aillac,0,0.045326599100379,0.0357841571845097,0.0023856104789673,0.0035784157184509,0.4139034181008293,0.2218617745439604,0.1932344487963526,0.1300157711037187,0.0656042881716011,0.0047712209579346,0.0071568314369019,0.0715683143690194,0.0119280523948365,0.7321849837546126,0.6391338547507476,0.0930511290038656,0.0118864347316979,0.0012051273734328,0.0023374573612322,0.0702984209781623,0.082153099784213,0.0520251703563328,0.2678150162453863,0.0707200699632884,0.1411102091731478,0.0559847371089503,0.0471089589087271,0.0602606523087093,0.2150195575571327,22380,1448,838.359831847218
24083,Carsac-de-Gurson,0,0.0696835987946621,0.0099547998278088,0.0,0.0,0.3882371932845461,0.2588247955230307,0.1393671975893242,0.0796383986224709,0.0696835987946621,0.0,0.0,0.0696835987946621,0.0099547998278088,0.772277227722773,0.6732673267326733,0.0990099009900991,0.0099009900990099,0.0,0.0099009900990099,0.1287128712871285,0.0693069306930693,0.0396039603960396,0.2277227722772281,0.0891089108910891,0.0396039603960396,0.0990099009900991,0.0990099009900991,0.0495049504950495,0.247524752475248,20460,188,100.454054054054
24084,Carves,0,0.0,0.0,0.0,0.0,0.6458333333333334,0.4583333333333333,0.125,0.0625,0.1458333333333333,0.0,0.0,0.0625,0.0208333333333333,0.75,0.7083333333333334,0.0416666666666666,0.0,0.0,0.0,0.0416666666666666,0.0,0.0416666666666666,0.25,0.0,0.1458333333333333,0.1041666666666666,0.1041666666666666,0.0,0.1041666666666666,s,s,48.0
24085,La Cassagne,0,0.0774926686217008,0.0332111436950146,0.0,0.0,0.3210410557184749,0.2324780058651025,0.1107038123167155,0.121774193548387,0.0553519061583577,0.0,0.0,0.0221407624633431,0.0110703812316715,0.840909090909091,0.693181818181818,0.1477272727272732,0.0227272727272727,0.0227272727272727,0.0,0.1249999999999997,0.0909090909090908,0.0568181818181818,0.1590909090909088,0.0681818181818181,0.0681818181818181,0.0227272727272727,0.227272727272727,0.0568181818181818,0.227272727272727,20510,140,90.3311258278146
24086,Castelnaud-la-Chapelle,0,0.0574330868352377,0.0123070900361223,0.0041023633453741,0.0,0.3281890676299299,0.332291430975304,0.0779449035621083,0.135377990397346,0.1148661736704754,0.0,0.0164094533814964,0.1107638103251013,0.0369212701083671,0.7897463368796805,0.7068148305353426,0.0829315063443378,0.0037445095460465,0.0119892441874414,0.0041177202606404,0.0563467088028688,0.0793966018563999,0.0685092639522085,0.2102536631203203,0.0576512119335092,0.1031619256987834,0.0494405254880272,0.1404345725770467,0.1235780784197836,0.180656591071302,19590,409,243.761928383943
24087,Castels et Bezenac,0,0.04889656622573,0.0073344849338595,0.0024448283112865,0.0,0.4816311773234407,0.2811552557979476,0.1931414365916335,0.1589138402336225,0.122241415564325,0.0024448283112865,0.004889656622573,0.053786222848303,0.004889656622573,0.7463640578120977,0.6901088510028585,0.056255206809239,0.0023473005753017,0.0046946011506034,0.0050192884447513,0.0436156935624065,0.0813633352455294,0.0621781508049173,0.2536359421879047,0.0540612851207266,0.1114757631776535,0.088098893889524,0.1263845646670002,0.0756984092482028,0.1112898629796567,20160,702,409.026676999575
24088,Cause-de-Clerans,0,0.0317418135968059,0.0105806045322686,0.0,0.0,0.3650308563632687,0.3491599495648658,0.1110963475888209,0.0899351385242836,0.0952254407904179,0.0,0.0,0.0105806045322686,0.0052903022661343,0.7702392327635942,0.683979139235687,0.0862600935279098,0.0100863670003441,0.005043183500172,0.009658309824293,0.1153971610944722,0.0525320393588897,0.0456872610563286,0.2297607672364037,0.0344957936370232,0.1047508175717348,0.0905141560276458,0.0769897389557098,0.0527706343495397,0.0756477525025812,20890,308,189.025116088633
