COM,Nom Commune,N TL,P20_SCOL1517,P20_SCOL1824,ETTEF2021,P20_SCOL2529,P20_NSCOL15P_CAPBEP,P20_NSCOL15P_BAC,P20_NSCOL15P_SUP2,P20_NSCOL15P_SUP34,P20_NSCOL15P_SUP5,ETTEF5021,ETTEF1021,ETTEF121,ETTEF021,P20_POP1564,P20_ACT1564,P20_ACTOCC1564,P20_CHOMEUR1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP34,P20_CHOM_SUP5,P20_ACT_DIPLMIN,P20_ACT_SUP34,P20_ACT_SUP5,P20_INACT1564,P20_ETUD1564,P20_RETR1564,P20_AINACT1564,C20_ACT1564_CS2,C20_ACT1564_CS3,C20_ACT1564_CS4,MED20,NBPERSMENFISC20
40228,Pomarez,0,0.021888941259835717,-0.05744650618732774,0.1331341345263074,-0.05950845481280661,0.1563591458343001,-0.007065994350755621,0.0321154025675467,-0.06393563365393348,-0.05751075260226447,-0.05414231920064989,0.16689253881327457,0.04757765428252812,0.042565654964029094,0.006395888766393906,0.009380451912330006,0.006256576059394703,0.02790194094458313,0.013835003110740778,-0.009476503811875094,-0.03330902046850428,0.02655584173448943,-0.0532277530144922,-0.05255416056319302,-0.0009930135013475247,-0.037838384227358315,0.1533723807711177,-0.006179936359531884,0.19634269412175911,-0.054171786545456166,-0.03077469686480287,21790,1564
40229,Pontenx-les-Forges,0,0.06811040266409885,-0.04853528196641885,-0.09958724974609359,-0.037658763912476696,0.16365861701174012,0.03506397012108677,0.09380646569903882,-0.0038185296499531683,-0.03006011546774847,-0.05414231920064989,0.02241164311720084,-0.07005467704797899,-0.0756123310198833,0.03697403555353191,0.035058815925495285,0.0328472951608644,0.04764505289646647,0.01684690899610457,0.01236354107731229,-0.03264570866219444,0.0814003255067717,-0.0500496061772143,-0.03596451803931854,0.04122588981112942,-0.028190468139752543,0.19803154718433205,0.10058844728687902,-0.03326873547821324,-0.039218954422292,-0.015541275752148876,21000,1702
40230,Pontonx-sur-l'Adour,1,0.28766234433434873,0.012358083543125193,0.48221621093490885,-0.004884227561981825,0.47875245617123413,0.30188707844275525,0.3286305124576217,0.15285028684526827,0.01887362898943223,0.12044234480863132,0.13077231488925614,0.08188708425392603,0.1607436409479415,0.2265638678842075,0.24853696646854373,0.26410016330169944,0.15079849029358589,0.20998602023601387,0.13517189536590218,-0.01667861844577814,0.23052009673339766,0.13794379051692973,0.018824661969672883,0.1700255153368499,0.06900624734140068,0.6088754594255175,0.12505108122429698,0.16620320921114287,-0.03316419976076253,0.2592056876168208,22870,2856
40231,Port-de-Lanne,0,-0.04744325084655898,-0.04853528196641885,-0.15776759581419383,-0.04858360936264165,-0.02612763360170031,-0.02391798013949258,-0.031565694858509685,-0.020214103469220528,-0.03244712739248899,-0.14143465120529047,-0.08594902865485445,-0.1043641070193769,0.0031729929693916333,-0.035489837624079916,-0.02909148940292408,-0.03034607292587342,-0.021044982829201666,-0.032304186978418546,0.009476806131996685,-0.03392284548885792,-0.059279356214627654,-0.02053045985456628,-0.03870649402368849,-0.05074377224498908,-0.04434536304314745,-0.03338538173260722,-0.06793945179697473,-0.1821658544542983,-0.01305602165892115,-0.05265447797193296,22500,1203
40232,Poudenx,0,-0.24966214449021018,-0.07081334251869106,-0.15776759581419383,-0.05950845481280661,-0.2840422818712475,-0.21069415596466054,-0.21862891854755032,-0.1513786940233594,-0.10167047320996413,-0.14143465120529047,-0.1581894765028913,-0.1533775784070882,-0.19379031700379568,-0.17910124099642308,-0.18583374458071897,-0.19243210990935156,-0.14290635967999096,-0.13631515777149866,-0.11353896112482892,-0.08382823398424484,-0.18314200313837908,-0.13762647001686165,-0.09115115111470884,-0.1604705749430635,-0.11235936391064673,-0.27287317979130576,-0.18270304367325263,-0.2681775543086355,-0.11137126807559117,-0.18316113968605038,20050,220
40233,Pouillon,0,0.38588294981840787,-0.009919977009147018,-0.041406903677993344,-0.01580907301214678,0.5529637464752076,0.3805296787901944,0.36246109546521416,0.1783545127863508,0.09883852846823972,0.03315001280399072,0.02241164311720084,0.15050594419672186,0.08195831695866657,0.22966400533768005,0.2433677104950303,0.25898291346082025,0.14541365936999193,0.15944259904523275,0.026920073439691196,0.013210670442067774,0.17703828959987003,0.16143029916334964,0.057375845196963184,0.19335004596344837,0.06941833962010854,0.5963519855026742,0.21551769276188706,0.3930663532749859,0.11104703108366988,0.14097053892041184,21690,3152
40234,Pouydesseaux,0,-0.07055398154869055,-0.05596130215050959,-0.15776759581419383,-0.05950845481280661,-0.10642181655354048,-0.08149559825101052,-0.09126672369543755,-0.0785094770488378,-0.08376788377441022,-0.05414231920064989,-0.12206925257887288,-0.12396949557446142,-0.0756123310198833,-0.06417107010368396,-0.06171589391475201,-0.06308637100220876,-0.052372081379970556,0.010747828614458207,-0.05320018830916163,-0.06679555967483122,0.003579214619031169,-0.06298797858174393,-0.07448687254377619,-0.06942170735664922,-0.05435000801424883,-0.07931825811462806,-0.08804029035965708,-0.04190483022777382,-0.09742103987077447,-0.027877730253405723,22370,890
40235,Poyanne,0,-0.13410849097955235,-0.05893171022414588,-0.15776759581419383,-0.05950845481280661,-0.13683627979287388,-0.13486021991534422,-0.09524679228456606,-0.11676581596046165,-0.06109127048937526,-0.14143465120529047,-0.1581894765028913,-0.14357488412954594,-0.19379031700379568,-0.1052887103611234,-0.10532230530664148,-0.108808676772996,-0.08250879773608125,-0.15212609434838636,-0.053617431901017254,-0.08382823398424484,-0.15681241929695278,-0.09805290298002185,-0.05219458019399328,-0.10395132094769813,-0.07021372264464155,-0.18426892423957347,-0.11980333380815002,0.10047144708376443,-0.04760852044008361,-0.1698876315125631,21450,685
40236,Poyartin,0,-0.09366471225082211,-0.06635773040823661,-0.15776759581419383,-0.05950845481280661,-0.11615444479012718,-0.09834758403974747,-0.10320692946282312,-0.11130062468737252,-0.08257437781203995,-0.14143465120529047,-0.1581894765028913,-0.12396949557446142,-0.15439765500915822,-0.09484984653251591,-0.09196578821962788,-0.09072253651752502,-0.09770424966297757,-0.12226343381896598,-0.07275846707774089,-0.08382823398424484,-0.12356474665123265,-0.08620321083508366,-0.07290707860944476,-0.10078561297387059,-0.07003936835518738,-0.10037074585054742,-0.15545464236378403,0.012504369964586301,-0.09046532763800832,-0.13134125472292757,20660,825
40237,Prechacq-les-Bains,0,-0.12833080830401947,-0.05596130215050959,-0.15776759581419383,-0.05950845481280661,-0.10763839508311382,-0.11098657338130019,-0.11315710093564442,-0.1058354334142834,-0.08973541358626153,-0.14143465120529047,-0.1581894765028913,-0.14357488412954594,-0.15439765500915822,-0.09423529697580733,-0.09241876146111133,-0.09555627299135011,-0.07193182035600236,-0.18089128811139016,-0.09257823465358164,-0.08382823398424484,-0.10651094685982647,-0.0913398441381066,-0.08165086566516822,-0.09756278599308232,-0.0758617727612645,-0.1912757857931903,-0.08042217702569769,-0.0625147765859944,-0.08959697027985816,-0.12237146181275985,20580,761
40238,Pujo-le-Plan,0,-0.12255312562848658,-0.06635773040823661,-0.15776759581419383,-0.05950845481280661,-0.16846732156178063,-0.1432862128097127,-0.10718699805195164,-0.1058354334142834,-0.09450943743574257,-0.14143465120529047,-0.12206925257887288,-0.14357488412954594,-0.15439765500915822,-0.1160892862210304,-0.1261201583237936,-0.12802249486563372,-0.11240155632182564,-0.05229282130496645,-0.09108987641410603,-0.08382823398424484,-0.1479945664351616,-0.08994057521515479,-0.08441293630515502,-0.09012820865162754,-0.08121632327177802,-0.03868275767833051,-0.12678191527249058,-0.1522015125928707,-0.07688388056726515,-0.1575933763717782,21070,625
40239,Puyol-Cazalet,0,-0.24966214449021018,-0.07229854655550921,-0.15776759581419383,-0.05950845481280661,-0.332705423054181,-0.25282412043650293,-0.21663888425298605,-0.1659525374182637,-0.10047696724759388,-0.14143465120529047,-0.1581894765028913,-0.15827892554585934,-0.19379031700379568,-0.19547748942095622,-0.20413821605279206,-0.20801423162565175,-0.17716421216290443,-0.18089128811139016,-0.11353896112482892,-0.06765950998573941,-0.229402922498271,-0.14638131189815476,-0.08743836347485388,-0.17192715554019014,-0.10976381403330446,-0.323935455360874,-0.20140031994508878,-0.2681775543086355,-0.11839378567678188,-0.19639475912154733,s,s
40240,Renung,0,-0.1745522697082826,-0.05447609811369144,-0.15776759581419383,-0.04858360936264165,-0.20618125597855405,-0.16294686289657248,-0.13902754676497983,-0.12769619850663988,-0.07660684800018865,-0.14143465120529047,-0.12206925257887288,-0.1386735369907748,-0.11500499301452076,-0.12774021826256424,-0.1298543677315065,-0.1329734129254626,-0.10878517416176996,-0.16603257799809298,-0.07253370537255371,-0.08382823398424484,-0.1923170140216199,-0.11846530471757695,-0.0688621718510252,-0.121037505223443,-0.08827107193674073,-0.1670529899514157,-0.151685856679664,-0.1821658544542983,-0.05519112726606544,-0.09833180957187405,21880,511
40242,Rimbez-et-Baudiets,0,-0.26121750984127595,-0.0752689546291455,-0.15776759581419383,-0.05950845481280661,-0.3229727948175943,-0.24299379539307303,-0.21862891854755032,-0.16230907656953764,-0.10047696724759388,-0.14143465120529047,-0.1581894765028913,-0.17298296696217272,-0.15439765500915822,-0.19555671429950405,-0.2026275576354827,-0.2083149125283356,-0.16484140751313303,-0.16603257799809298,-0.11353896112482892,-0.06719310448578253,-0.23360456299620372,-0.1461425434832104,-0.08984003468743333,-0.1759009065724802,-0.11377632226205298,-0.3508459512522774,-0.1920081997713292,-0.2395069876905231,-0.11137126807559117,-0.19621180585746212,s,s
40243,Rion-des-Landes,1,0.3049953923609474,-0.02477201737732849,0.1331341345263074,-0.037658763912476696,0.6393408220749145,0.2597571139709129,0.20325835190007321,0.04354646138348587,-0.04318868105382134,0.20773467681327193,0.02241164311720084,0.018169571449901344,0.12135097895330403,0.23030986352068047,0.24389977673732366,0.23764353533638274,0.27682724810224657,0.28768686697557994,0.05372446326418495,-0.04997680843440893,0.41115747301811456,0.03831728359697189,-0.048381503917624996,0.1942670139131401,0.053095289482623466,0.5928414567273534,0.25652170062818636,0.4027682745456976,0.024553616811800454,0.11609195157928058,20710,3051
40244,Riviere-Saas-et-Gourby,0,0.04499967196196728,-0.04110926178232811,-0.15776759581419383,-0.05950845481280661,0.049300235231846526,0.0027643306926742714,0.012215059621904077,-0.05847044238084437,-0.025286091618267427,-0.14143465120529047,-0.04982880473083602,-0.06025198277043674,-0.0756123310198833,0.0020597358505456296,0.019521722057069375,0.025217319591637956,-0.014925286447249945,-0.05194314882533553,-0.0688597786545543,-0.029109316916010538,-0.033367421622281394,-0.037044901609328225,-0.019365515116417077,-0.04074949990181694,-0.028473577509591473,-0.01643687938926519,-0.0759597330348726,0.2346063328048914,-0.026422091986375323,0.06651388600722682,23490,1370
40245,Roquefort,0,0.13744259477049356,-0.04853528196641885,0.3658555187987083,-0.04858360936264165,0.25976832084803364,0.1137065704685259,0.10574667146642439,0.007111852896225071,-0.03602764527959978,0.03315001280399072,0.23913298666131141,0.08188708425392603,-0.03621966902524583,0.05465193079086757,0.06433076170553274,0.07099435437165577,0.023261495678423446,0.10708389343019864,0.025449168741562233,-0.08382823398424484,0.19232951956648062,0.0038987792494059232,-0.035417276070657866,0.03028576459104981,-0.014642793025707363,0.19707490100508215,0.03188117849424282,0.14728674974160005,-0.036423034165082364,0.05633291260963694,21070,1920
40246,Sabres,0,-0.053220933522091875,-0.04110926178232811,0.1331341345263074,-0.05950845481280661,-0.004229220069380259,-0.07026094105851921,-0.06539627786610214,-0.06393563365393348,-0.033640633354859256,0.20773467681327193,-0.08594902865485445,0.013268224311130212,0.042565654964029094,-0.04065919658846948,-0.04602091280760695,-0.06519127424889601,0.06955725525658979,0.18540981663451161,-0.049849604327378796,-0.03419531119446906,0.019918952810413833,-0.08271447267934484,-0.055593315539752004,-0.027037455827521015,-0.05188519650076206,0.03122437121599294,-0.0016412008861463763,-0.09652429438814662,-0.04104823568450304,-0.06793320315790496,19900,1163
40247,Saint-Agnet,0,-0.22655141378807864,-0.07378375059232736,-0.15776759581419383,-0.05950845481280661,-0.2803925462825275,-0.24299379539307303,-0.21663888425298605,-0.15502215487208548,-0.10525099109707492,-0.14143465120529047,-0.1581894765028913,-0.14847623126831708,-0.11500499301452076,-0.1814154210691818,-0.19036467204392868,-0.19400936513472455,-0.16502992235025027,-0.18089128811139016,-0.0729868021211976,-0.0673769180714009,-0.2246323147844157,-0.13570917723369197,-0.09249124249065342,-0.1573257805287195,-0.10681678649188645,-0.2958280683113868,-0.1706731733586123,-0.2114700247545789,-0.11144886495516233,-0.1640177591970459,22050,176
40248,Saint-Andre-de-Seignanx,0,0.08544345069069753,-0.03219803756141923,0.0167734423901069,-0.04858360936264165,0.23300359319742028,0.10808924187228026,0.1415672887685811,0.03625953968603371,-0.008577008145083772,-0.14143465120529047,-0.04982880473083602,-0.11906814843569029,-0.03621966902524583,0.0785906117782646,0.08714624675481021,0.09695091658606456,0.02685674625249355,-0.10356516467104197,-0.07118978039981286,-0.048579215709679914,-0.06628029248170532,0.02859928100249302,-0.015993689421296836,0.05669109978703789,-0.0013001332086581532,0.24478463312933466,0.0716452906586922,0.1487286656735561,-0.0023084872255826373,0.048684883480197,23390,2002
40249,Saint-Aubin,0,-0.15144153900615104,-0.07378375059232736,-0.15776759581419383,-0.05950845481280661,-0.1976652062715407,-0.19243783802686215,-0.1668880268888795,-0.10947889426300948,-0.08138087184966969,-0.14143465120529047,-0.1581894765028913,-0.14847623126831708,-0.03621966902524583,-0.13561422478951474,-0.13844138657066946,-0.13910208168619126,-0.13192547390560824,-0.10240282914251378,-0.07202372951954727,-0.052219138577431726,-0.15774998058159267,-0.09528028266767925,-0.07332023817541994,-0.12707065579716292,-0.09122670017913553,-0.20492893855027142,-0.1459518806134519,-0.21191135356480914,-0.06142869176810939,-0.1559761539093147,20870,499
40250,Saint-Avit,0,-0.14566385633061815,-0.06338732233460033,0.0167734423901069,-0.037658763912476696,-0.12467049449714053,-0.12081689842473009,-0.06340624357153787,-0.11312235511173556,-0.08257437781203995,0.03315001280399072,0.3836138823573852,0.03777496000498586,0.1607436409479415,-0.09880994257871206,-0.10278180850714841,-0.1003061009863462,-0.11569584197006137,-0.16570594689347215,-0.09214068803304798,-0.04946559797389338,-0.15169492198358953,-0.10537343708883078,-0.06913595969987203,-0.0879003830330794,-0.08145167315152334,-0.02395601233425344,-0.12640740291130384,-0.20769608778423052,-0.05897471440631031,-0.08133978631041824,23500,697
40251,Saint-Barthelemy,0,-0.15721922168168392,-0.06487252637141847,-0.15776759581419383,-0.05950845481280661,-0.23051282657002076,-0.19945949877216923,-0.1609179240051867,-0.11676581596046165,-0.08973541358626153,-0.14143465120529047,-0.1581894765028913,-0.16318027268463045,-0.19379031700379568,-0.14431388538331028,-0.14646140001459296,-0.14620533898027852,-0.1452834716060706,-0.18089128811139016,-0.05276231445368573,-0.08382823398424484,-0.19214900887899278,-0.09286283071170658,-0.08077130111866931,-0.13733185870064385,-0.0886398653284483,-0.2603951297973198,-0.1578522950361868,-0.23950853942602854,-0.08311219736729283,-0.1315751775907995,23020,438
40252,Sainte-Colombe,0,-0.13988617365508524,-0.06190211829778218,-0.09958724974609359,-0.05950845481280661,-0.16238442891391394,-0.14047754851158986,-0.09524679228456606,-0.1058354334142834,-0.08973541358626153,-0.14143465120529047,-0.1581894765028913,-0.13377218985200368,-0.15439765500915822,-0.10943389648919767,-0.11145752628693757,-0.11064598274594242,-0.11425169156626436,-0.04763609476051943,-0.09254138403750364,-0.08382823398424484,-0.08964049104144516,-0.10291617426742493,-0.07653635276779516,-0.10317118867859403,-0.07722360062522328,-0.1415595622202321,-0.12542141113250063,-0.06904889459603675,-0.0768188013091679,-0.08453134469177036,22950,628
40253,Saint-Cricq-Chalosse,0,-0.08788702957528922,-0.06784293444505476,-0.15776759581419383,-0.05950845481280661,-0.19279889215324736,-0.12783855917003714,-0.12310727240846574,-0.14227004190154421,-0.08854190762389126,-0.14143465120529047,-0.1581894765028913,-0.1386735369907748,-0.11500499301452076,-0.1146846742511107,-0.12190050636014556,-0.1258384650750937,-0.09607765121613956,-0.09121304322103041,-0.09290277522371246,-0.0503468219535429,-0.12277357044630298,-0.12466818475767262,-0.07925300679881501,-0.09563764220433445,-0.06810821379944364,-0.10992231127536009,-0.13573585135919583,-0.12394853325996152,-0.11133022889774531,-0.10425452107141849,20160,629
40254,Saint-Cricq-du-Gave,0,-0.21499604843701284,-0.06932813848187291,-0.15776759581419383,-0.05950845481280661,-0.21104757009684738,-0.16154253074751107,-0.17882823265626507,-0.14409177232590725,-0.09212242551100204,-0.14143465120529047,-0.1581894765028913,-0.1533775784070882,-0.11500499301452076,-0.15142612680487777,-0.1550450873136521,-0.15944475062376934,-0.12584576692088045,-0.12145644765820152,-0.11353896112482892,-0.06719310448578253,-0.17855449769675866,-0.13336843328368728,-0.0845955689783313,-0.14075404008325323,-0.10527457215361556,-0.24502576141238733,-0.14238070058158742,-0.1534952878361859,-0.11839378567678188,-0.15053447425752103,21220,441
40255,Saint-Cricq-Villeneuve,0,-0.13988617365508524,-0.06784293444505476,-0.15776759581419383,-0.037658763912476696,-0.23537914068831411,-0.15873386644938825,-0.14698768394323689,-0.12040927680918773,-0.07421983607544813,-0.14143465120529047,-0.1581894765028913,-0.13377218985200368,-0.11500499301452076,-0.13753337612311023,-0.14019854323068773,-0.1397245407837323,-0.14044079972201018,-0.13643967087603623,-0.11353896112482892,-0.06696160843718747,-0.19231080538487103,-0.10614463243386114,-0.060384740505672524,-0.12936384329160197,-0.0795259692796645,-0.20986535046466734,-0.17711294831481106,-0.09888573555921018,-0.07708571907566367,-0.1569104964278824,22820,499
