COM,Nom Commune,NTLBIN,P20_SCOL1824,P20_SCOL2529,P20_NSCOL15P_BAC,P20_NSCOL15P_SUP2,ETTEF5021,ETTEF1021,ETTEF121,ETTEF021,P20_POP1564,P20_CHOMEUR1564,P20_CHOM_DIPLMIN,P20_CHOM_SUP34,P20_CHOM_SUP5,P20_ACT_SUP34,P20_ETUD1564,P20_RETR1564,C20_ACT1564_CS3,C20_ACT1564_CS4
17312,Saint-Bonnet-sur-Gironde,0,8,2,82,42,1,2,30,5,426.655842801165,41.5262503256897,6.9057816427264,0.982827742410067,0.0,14.9081510073565,14.4958432058522,59.216488118625,24.5895040174833,59.9067697601793
17313,Saint-Bris-des-Bois,0,6,0,78,40,0,0,20,2,247.706000000969,25.0038781619798,3.03873096670055,3.03410826261555,2.1238638354287,16.9573910477929,11.4218911315716,23.1696183988088,34.4628448563072,19.7573002179574
17314,Saint-Cesaire,0,10,0,109,90,0,1,22,2,556.0,36.0,6.0,4.0,3.0,38.0,35.0,38.0,20.0,80.0
17315,Saint-Christophe,0,34,1,230,134,0,2,36,4,895.10542980207,66.9598822456402,10.2406136505868,9.34448604721279,1.04388428761973,74.5622762833441,88.5363870845916,69.8670393001683,46.6024254134739,203.313273590906
17316,Saint-Ciers-Champagne,0,3,0,48,30,0,1,20,1,218.0,8.0,0.0,0.0,0.0,13.0,12.0,24.0,20.0,15.0
17317,Saint-Ciers-du-Taillon,0,11,1,73,40,0,1,22,2,305.0,34.0,4.0,1.0,1.0,13.0,15.0,31.0,20.0,15.0
17318,Saint-Clement-des-Baleines,0,12,1,104,60,0,2,41,20,345.43524636845,43.560345337443,4.04202832032709,3.04829260113582,3.03429308307886,36.3873900695001,17.6536325889118,39.2661310595573,15.0333902329652,20.5611162505763
17319,Sainte-Colombe,0,2,0,12,10,0,0,3,0,63.9266055045872,4.77064220183486,0.0,0.954128440366973,0.954128440366973,3.81651376146789,7.63302752293578,4.77064220183486,0.0,9.54128440366972
17320,Saint-Coutant-le-Grand,0,7,1,57,37,0,1,9,0,242.0,23.0,3.0,2.0,1.0,18.0,15.0,14.0,25.0,55.0
17321,Saint-Crepin,0,4,0,46,26,0,0,7,0,218.98721917966,18.9554195382938,3.89900385160237,2.81873387976385,1.15432442572892,16.4189116882285,14.0148179484378,16.0159043658548,10.2421496966056,49.9826819975724
17322,Saint-Cyr-du-Doret,0,8,1,100,44,1,0,7,3,361.477076095426,17.8285441673716,4.20327506200887,1.05298051462431,1.03480977777773,24.3117194663552,20.2198709591328,20.8338800260395,15.8899800789362,95.2324786619843
17323,Saint-Denis-d'Oleron,0,8,0,218,94,0,2,53,44,603.779205858903,63.8321314195223,10.1601371626071,3.02096277016037,4.10859856639772,33.5831470250481,31.7596378502951,119.729385621465,15.2049200336695,71.1915266612473
17324,Saint-Dizant-du-Bois,0,6,0,11,7,0,0,4,0,71.0,6.0,2.0,0.0,0.0,0.0,9.0,3.0,0.0,5.0
17325,Saint-Dizant-du-Gua,0,0,0,86,33,0,2,20,3,299.008322453986,20.7217069632931,1.00032404276594,0.0,0.0,11.0096062603948,10.2870373977561,41.4883126937537,5.48135471775943,34.6155808300447
17326,Saint-Eugene,0,3,0,50,16,0,2,18,2,167.508129760173,3.01057032540891,2.01686240385188,0.99370792155703,0.0,11.0683328488825,10.0945789352319,15.8411985588777,4.96853960778515,15.1046726475734
17327,Saint-Felix,0,5,0,46,19,0,1,9,0,186.285917698322,20.6986704672772,4.51297730677978,0.0,0.0,3.27467347153654,13.4535348434062,7.2974328019573,0.0,14.9930933523653
17328,Saint-Fort-sur-Gironde,0,7,0,123,63,0,1,23,9,474.413332128333,44.9173060214195,7.01817917648414,1.01473186298406,0.0,19.1669890526545,23.5499701923065,63.9617558075317,30.1631378160813,50.5957100351483
17329,Saint-Froult,0,5,0,58,43,0,0,10,2,204.0,26.0,2.0,3.0,1.0,14.0,13.0,30.0,10.0,80.0
17330,Sainte-Gemme,0,16,2,208,81,2,2,27,5,834.819440715292,60.8063134360149,10.9458200809953,2.93376668860244,2.96076565635079,58.9425436762852,40.6466331054229,49.9030108251518,14.5013887332291,143.598567565163
17331,Saint-Genis-de-Saintonge,0,44,1,143,86,2,5,35,6,700.96300500833,95.7615233997814,19.3928611830206,1.00718777862293,1.94413982925979,32.3487572876827,55.8654725970202,54.6783024676947,14.7691038516676,88.0804211765337
17332,Saint-Georges-Antignac,0,4,0,60,17,0,2,13,2,244.368053410526,22.5614743202672,7.21689846255463,1.05099467969259,1.88087093343981,8.2110778588996,19.087802467961,21.1399721761852,0.0,30.9617987608039
17333,Saint-Georges-de-Didonne,0,46,1,790,489,7,10,161,52,2018.927836169,194.053587913675,29.0452441793558,16.4918550987713,12.388292345452,163.163588346605,140.274693504361,314.630938136503,216.902353392919,376.864371209062
17334,Saint-Georges-de-Longuepierre,0,2,1,31,18,0,0,4,0,141.976117359317,12.5280814341708,1.92096537651313,0.971634361689415,0.0,14.4991249099681,16.3671879595098,10.6627860616075,4.80241344128282,9.63262560980581
17335,Saint-Georges-des-Agouts,0,4,0,35,18,0,0,6,4,151.277584999672,11.6867063645163,1.92841000063582,0.0,0.0,5.274313426331,6.26131820506273,14.7297668767713,10.5987508763633,4.93502389365864
17336,Saint-Georges-des-Coteaux,0,28,3,406,276,3,18,102,12,1545.43310416037,106.059299695522,12.907286025801,9.01142464031795,2.95041419846702,169.277751272252,114.057016861356,148.481719395437,153.454632287147,346.102587542822
17337,Saint-Georges-d'Oleron,1,28,3,589,330,1,6,111,64,1834.9874697763,198.741841615874,30.8896949530617,13.1334757394013,13.2022217761983,134.160320365143,90.6171610454973,211.305427802561,104.062201423722,198.328408041715
17338,Saint-Georges-du-Bois,0,36,3,238,161,1,2,40,2,1094.17603371292,73.4090099797172,12.6864490230747,3.83911598608725,0.95414890976542,84.8899366529076,74.6887440441102,75.125686608956,96.033249620791,227.662580879873
17339,Saint-Germain-de-Lusignan,0,27,1,162,98,3,2,29,7,742.337784797262,62.745950930443,18.3079258625741,5.05617374465908,1.00822906087348,62.8172203648989,56.980446129773,78.715715862749,55.3206328487795,105.954392432808
17340,Saint-Pierre-La-Noue,0,30,1,194,135,1,4,30,1,926.0,67.0,10.0,7.0,0.0,69.0,74.0,75.0,110.0,175.0
17341,Saint-Germain-de-Vibrac,0,4,0,37,16,0,0,4,1,101.763440860215,3.91397849462366,0.0,0.0,0.0,11.741935483871,6.8494623655914,8.80645161290323,0.0,29.3548387096774
17342,Saint-Germain-du-Seudre,0,7,0,51,33,0,1,10,2,233.42260784816,17.4632700645327,0.956718332328819,1.93875099937514,0.0,17.4729791859077,12.9633539532385,29.162299271403,4.90416027391865,24.5421520494081
17343,Saint-Gregoire-d'Ardennes,0,1,0,21,14,0,0,4,0,80.4452054794521,7.94520547945205,0.0,0.993150684931507,0.0,4.96575342465753,2.97945205479452,7.94520547945205,19.8630136986301,24.8287671232877
17344,Saint-Hilaire-de-Villefranche,0,15,4,222,127,1,3,39,6,759.336265369501,67.0855688223248,8.8374839938139,3.86480382818238,0.922125084541759,42.3931827089462,40.4115274042182,62.7230138077558,34.6093258977098,197.199939262123
17345,Saint-Hilaire-du-Bois,0,1,0,59,15,0,0,8,0,185.0,16.0,2.0,0.0,0.0,6.0,11.0,16.0,5.0,40.0
17346,Saint-Hippolyte,0,25,0,212,153,0,1,22,1,926.0,62.0,4.0,6.0,1.0,57.0,65.0,77.0,55.0,200.0
17347,Saint-Jean-d'Angely,1,184,12,809,448,19,49,256,29,3595.84072836211,528.746319139119,133.708541165986,14.8662809629136,13.8828182622841,229.807439708493,308.31191186085,353.518409839487,341.332885485695,564.070137628806
17348,Saint-Jean-d'Angle,0,12,1,117,49,0,1,9,0,382.899020643599,36.5957189262275,2.98009380959897,2.99598192382694,0.972673038871906,33.6293157545712,24.9537163117729,25.2293513066532,9.65094594830326,104.226337854443
17349,Saint-Jean-de-Liversay,0,40,2,448,282,1,4,43,9,1716.77072581158,125.886821018196,12.1884459026726,5.07389748515799,1.01515508225728,131.993740844813,113.803626832912,106.489899952638,121.907963532633,380.672888933059
17350,Saint-Julien-de-l'Escap,0,8,1,105,60,0,1,15,3,421.0,39.0,4.0,1.0,0.0,19.0,28.0,59.0,25.0,55.0
17351,Saint-Just-Luzac,0,13,0,283,145,2,10,49,9,1286.71728661847,130.59614408353,36.7126877934222,2.03622068186215,2.04388171923674,59.1799330050468,70.1607705201559,160.719041197978,56.1005088328936,163.259829049978
17353,Saint-Laurent-de-la-Pree,0,51,2,319,208,1,4,52,4,1372.0,73.0,10.0,7.0,1.0,132.0,123.0,109.0,105.0,310.0
17354,Saint-Leger,0,10,0,101,68,0,1,13,3,395.842411208971,24.3094754474504,1.01070142052341,5.06502106051639,1.01399150466052,33.418951246218,36.4066486845768,33.4617517404606,25.3004363544564,86.0165952375991
17355,Sainte-Lheurine,0,3,1,96,43,0,0,41,4,295.740209531632,32.448132284228,6.29550537068169,3.08940992413312,1.98627894533861,16.6020208020853,17.390147729035,19.6382258158447,4.79088322453259,29.4683356240735
17356,Saint-Loup,0,3,0,41,16,0,0,6,0,166.35678546725,11.2215484209673,2.00494834317553,0.0,0.0,11.2592453440026,7.2369861401204,18.1063285413028,0.0,30.5755000313479
